stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
1468,998,Trafalgar and Cross,43.457277,-79.681575,0
53,1000,John R Rhodes - Seniors Residence,43.443333,-79.679046,1
545,1001,Oaktown Plaza,43.446541,-79.688453,1
694,1002,Trafalgar Village,43.455431,-79.687097,1
668,1003,Oakville Place,43.460343,-79.687596,2
185,1004,Walmart,43.483508,-79.718756,2
586,1005,Oakville Senior Citizens Residence,43.399518,-79.705226,1
1070,1006,Bronte Village Mall,43.395685,-79.711316,1
618,1007,250 Woodside Dr,43.415874,-79.697087,1
123,1008,Fortinos,43.438182,-79.676601,1
823,1009,Knox Heritage Place,43.469576,-79.718964,1
594,1010,Munn's Ave + Neyagawa Blvd,43.461547,-79.722434,2
472,1011,Neyagawa Blvd + Winding Woods Dr,43.461095,-79.727042,2
396,1012,Neyagawa Blvd + River Oaks Blvd West,43.460693,-79.730184,2
421,1013,River Glen Blvd + Neyagawa Blvd,43.460773,-79.737218,2
960,1014,Neyagawa Blvd + Riverbank Way,43.462994,-79.742477,2
318,1015,Neyagawa Blvd + Dundas St West,43.464697,-79.74474,2
200,1016,Towne Blvd + Grovehill Rd,43.46868,-79.73861,1
128,1030,Proudfoot Trail + Waubanoka Way,43.449697,-79.745604,2
817,1031,Proudfoot Trail + Falkland Cr,43.451916,-79.748809,2
740,1032,Pine Glen Rd + Dashwood Dr,43.45211,-79.753089,2
819,1033,Pine Glen Rd + Whistling Springs Cr,43.446143,-79.760325,2
989,1034,Pine Glen Rd + Castlebrook Rd,43.443467,-79.761764,2
141,1035,Pine Glen Rd + Postmaster Dr,43.441639,-79.763659,2
422,1036,Postmaster Dr + Woodbriar Ct,43.440293,-79.760475,2
941,1037,Postmaster Dr + Woodcrest Dr,43.439786,-79.754453,2
939,1038,Postmaster Dr + Westoak Trails Blvd,43.438693,-79.7519,2
696,1041,Valleyridge Dr + Highvalley Rd,43.431058,-79.776064,2
749,1042,Valleyridge Dr + Stornoway Circle,43.432208,-79.778114,2
1023,1043,Colonel William Pkwy + Richview Blvd,43.423241,-79.770121,2
1285,1044,Upper Middle Rd West + Trawden Way,43.421184,-79.760598,1
102,1045,Valleyridge Dr + Highvalley Rd,43.430939,-79.776162,2
1290,1050,Postridge Dr + Dalebrook Dr,43.485306,-79.713356,2
1136,1051,Holy Trinity H. S.,43.472474,-79.724054,1
907,1052,Kestell Blvd + Coronation Dr,43.490167,-79.703483,2
1000,1053,Kestell Blvd + 8th Line,43.488275,-79.705639,2
609,1054,8th Line + Kestell Blvd,43.488098,-79.705515,2
776,1055,Kestell Blvd + Coronation Dr,43.489937,-79.70357,2
1312,1056,Golden Briar Trail + Glenashton Dr,43.481691,-79.708049,2
1655,2107,Joshuas Creek Dr + Ironoak Way,43.491171,-79.680692,1
1656,2108,Trafalgar Rd + Dundas St East,43.487978,-79.720021,2
1657,2109,Trafalgar Rd + Dundas St East,43.487801,-79.719282,2
1658,2110,Trafalgar Rd + Burnhamthorpe Rd East,43.501758,-79.738557,2
1659,2111,Trafalgar Rd + Burnhamthorpe Rd East,43.501601,-79.737882,2
1660,2112,Upper Middle Rd East + 8th Line,43.48095,-79.69541,1
1661,2113,Upper Middle Rd East + 8th Line,43.48046,-79.69551,1
1638,2114,Sixteen Mile Dr + Isaac Ave,43.48033,-79.73411,2
1639,2115,6th Line + Kaitting Trail,43.48007,-79.73046,2
1640,2116,Sixteen Mile Dr + Colton Way,43.47846,-79.73552,2
1641,2117,Sixteen Mile Dr + Colton Way,43.47901,-79.73527,2
1642,2118,Sixteen Mile Dr + Preserve Dr,43.47653,-79.73762,2
1643,2119,Sixteen Mile Dr + Preserve Dr,43.47697,-79.73739,2
1662,2120,Sixteen Mile Dr east of Gardenia Gt,43.47345,-79.74101,2
1644,2121,Sixteen Mile Dr east of Carding Mill Tr,43.47352,-79.7412,2
1645,2122,Sixteen Mile Dr + George Savage Ave,43.47179,-79.7428,1
1646,2123,Sixteen Mile Dr + George Savage Ave,43.47226,-79.74257,2
1663,2124,Sixteen Mile Dr east of Trailside Dr,43.47018,-79.74443,2
1664,2125,Sixteen Mile Dr east of Trailside Dr,43.47024,-79.74465,2
1647,2126,Sixteen Mile Dr + Gladeside Ave,43.46767,-79.74586,1
1648,2127,Sixteen Mile Dr + Gladeside Ave,43.46801,-79.74588,1
1649,2128,Neyagawa Blvd + Dundas St West,43.4655,-79.74588,2
1665,2129,Trafalgar Rd + Highway 407 GO Carpool,43.506475,-79.745817,1
1650,2130,Neyagawa Blvd + Sixteen Mile Dr,43.46633,-79.74698,1
1651,2131,Neyagawa Blvd + Dundas St West,43.46485,-79.7455,2
1652,2132,Sixteen Mile Dr + Larry Cr,43.48076,-79.73387,2
1653,2133,Sixteen Mile Dr + 6th Line,43.48159,-79.73268,2
1636,2134,Pine Glen Rd + Old Bronte Rd,43.433367,-79.773027,2
1637,2135,Pine Glen Rd + Khalsa Gate,43.433572,-79.77246,2
1633,2136,McCraney St East + Montclair Dr,43.464652,-79.701521,1
1628,2137,1375 North Service Rd East,43.482447,-79.673332,1
1629,2138,Opposite 1375 North Service Rd East,43.482447,-79.673076,2
1620,2139,Industry St + South Service Rd East,43.469522,-79.674179,2
1621,2140,South Service Rd East + Chartwell Rd,43.466772,-79.677299,1
1622,2141,468 South Service Rd East,43.465177,-79.678987,2
1623,2142,Opposite 468 South Service Rd East,43.465255,-79.679157,2
1624,2144,Opposite 374 South Service Rd East,43.46253,-79.681908,2
1625,2145,South Service Rd East + Davis Rd,43.459821,-79.681288,2
1626,2146,South Service Rd East + Davis Rd,43.459616,-79.68134,2
1630,2147,Dundas St West + Grand Oak Trail,43.437905,-79.77443,1
1631,2148,Dundas St West + Grand Oak Trail,43.437799,-79.773952,1
1632,2149,Hospital Gate + Volunteer Way,43.448847,-79.766398,2
1610,2150,Upper Middle Rd West east of Grand Oak Trail,43.428482,-79.752677,2
1558,2151,Upper Middle Rd West east of Grand Oak Trail,43.428597,-79.752981,2
1559,2152,Dundas St West + 4th Line,43.456951,-79.753542,1
1560,2153,Dundas St West + 4th Line,43.456463,-79.7547,1
1517,2154,Upper Middle Rd East + Trafalgar Rd,43.474308,-79.702806,1
1518,2155,Rebecca St + Great Lakes Blvd,43.38455,-79.73442,1
1608,2156,Rebecca St + Great Lakes Blvd,43.385099,-79.734202,1
1561,2157,Pine Glen Rd + Postmaster Dr,43.441065,-79.764034,2
1562,2158,Pine Glen Rd + Crestmont Dr,43.439952,-79.765233,2
1563,2159,Pine Glen Rd + Falling Green Dr,43.437756,-79.767606,2
1564,2160,Pine Glen Rd + Grand Oak Trail,43.435469,-79.770053,2
1519,2161,Winston Park Dr + Bristol Circle,43.516984,-79.684815,2
1520,2163,Winston Park Dr + Bristol Circle,43.50893,-79.671179,2
1521,2164,Winston Park Dr + Plymouth Dr,43.510121,-79.674972,2
1565,2165,Kingsway Dr + Wynten Way (west),43.495278,-79.663369,2
1566,2166,Sheridan Garden Dr + Gable Dr,43.492783,-79.654442,2
1567,2167,Wynten Way + Kingsway Dr,43.494636,-79.663291,2
1522,2168,Harvester Rd + Burloak Dr,43.391583,-79.752392,2
1523,2169,Great Lakes Blvd + Michigan Dr,43.386346,-79.741959,1
1524,2170,Harvester Rd + Syscon Court,43.390229,-79.753875,1
1525,2171,Harvester Rd west of Burloak Dr,43.391549,-79.752929,1
1526,2172,Harvester Rd + Gateway Dr,43.387802,-79.756439,1
1527,2173,Harvester Rd + Syscon Rd,43.390773,-79.753709,1
1528,2174,Harvester Rd + Sheldon Court,43.385884,-79.758258,1
1529,2175,Harvester Rd + Gateway Dr,43.388199,-79.756339,1
1530,2176,Harvester Rd + Century Dr,43.384169,-79.760334,1
1531,2177,Harvester Rd + Sheldon Court,43.386269,-79.758312,1
1532,2178,Harvester Rd at Appleby GO Station,43.381986,-79.762642,2
1533,2179,Harvester Rd + Century Dr,43.384484,-79.760283,1
1534,2180,Harvester Rd + South Service Rd,43.378894,-79.765874,1
1535,2181,5155 Harvester Rd,43.381984,-79.762935,2
1536,2182,Harvester Rd east of Appleby Line,43.377924,-79.766827,2
1537,2183,Harvester Rd + South Service Rd,43.379256,-79.765769,2
1538,2184,Appleby Line south of Harvester Rd,43.376516,-79.766033,2
1539,2185,Fairview St east of Appleby Line,43.373899,-79.761654,1
1540,2186,Fairview St + Appleby Line,43.373988,-79.761995,1
1541,2187,Fairview St at Appleby GO Station,43.377223,-79.758381,1
1542,2188,Fairview St at Appleby GO Station,43.377162,-79.758715,1
1543,2189,Appleby GO station,43.379161,-79.75999,1
1568,2192,Dundas St West + Zenon Dr,43.429462,-79.783253,2
1611,2193,Dundas St West + Colonel William Parkway,43.428995,-79.783223,2
1569,2194,Dundas St + Sutton Dr,43.412383,-79.801999,2
1612,2195,Dundas St + Sutton Dr,43.411808,-79.802081,2
1570,2196,Dundas St + Appleby Line,43.407271,-79.807746,1
1613,2197,Dundas St + Appleby Line,43.407258,-79.807077,1
1571,2198,Dundas St + Cornerstone Dr,43.401057,-79.814184,2
1614,2199,Dundas St + Millcroft Park Dr,43.400499,-79.814295,1
1572,2200,Dundas St + Tim Dobbie Dr,43.398235,-79.817309,1
1615,2201,Dundas St + Weslock Common,43.397589,-79.817482,1
1573,2202,Dundas St + Rotary Way,43.395319,-79.820545,2
1616,2203,Dundas St + Berwick Dr,43.39474,-79.820647,1
1574,2204,Dundas St + Walkers Line,43.392806,-79.823361,1
1617,2205,Dundas St + Walkers Line,43.391309,-79.824509,2
1575,2206,Dundas St + Highway 407 GO Carpool,43.389191,-79.828892,2
1272,2207,Dundas St West + Harman Gate,43.473986,-79.734616,2
296,2208,Dundas St West + Preserve Dr,43.474502,-79.73464,2
404,2209,North Service Rd West + 4th Line,43.438869,-79.709743,2
228,2210,Oak Park Blvd + Parkhaven Blvd,43.480881,-79.718359,2
363,2211,Dundas St East + 9th Line,43.507903,-79.697396,1
468,2212,Dundas St East + 9th Line,43.508606,-79.697332,2
977,2213,Hays Blvd + Taunton Rd,43.484322,-79.717987,2
820,2214,Burloak Dr + Great Lakes Blvd,43.386165,-79.742593,2
561,2215,Speers Rd at Bronte GO Station,43.41511,-79.720927,2
866,2216,Speers Rd at Bronte GO Station,43.415478,-79.720906,2
1176,2217,Dundas St West + Lion Valley Park Rd,43.460753,-79.749379,2
254,2218,Dundas St West at Trafalgar Lawn Cemetery,43.461363,-79.749376,2
720,2219,Westoak Trails Blvd north of Skyvalley Cr,43.453241,-79.733397,1
427,2220,Westoak Trails Blvd north of Old Oak Dr,43.453077,-79.73333,1
311,2221,Westoak Trails Blvd + Treetop Terrace,43.4529,-79.737,1
863,2222,Westoak Trails Blvd + Oakpoint Rd,43.451544,-79.738666,1
1268,2223,Westoak Trails Blvd + Proudfoot Tr,43.4479,-79.7429,1
849,2224,Westoak Trails Blvd + Proudfoot Tr,43.4479,-79.7426,1
1229,2225,Westoak Trails Blvd + Bloomfield Dr,43.4452,-79.7455,1
1131,2226,Westoak Trails Blvd + Bloomfield Dr,43.445121,-79.745256,1
1115,2227,Westoak Trails Blvd + Pheasant Ln,43.442563,-79.747439,2
635,2228,Westoak Trails Blvd + 3rd Line,43.441658,-79.748553,1
1015,2229,4th Line north of Upper Middle Rd West,43.446764,-79.734801,1
1024,2230,Pilgrims Way west of Potters Wheel Cr,43.435534,-79.720511,2
144,2231,Upper Middle Rd West + Elm Rd,43.4648,-79.7136,2
300,2232,Upper Middle Rd West + 4th Line,43.446453,-79.733781,1
942,2233,6th Line + Upper Middle Rd East,43.466436,-79.711186,2
1299,2234,Leighland Ave + Bomorda Dr,43.455657,-79.695349,2
1296,2235,River Oaks Blvd East + Namron Gate,43.47663,-79.706125,2
655,2236,River Oaks Blvd East + Oak Springs Rd,43.4755,-79.7084,1
959,2237,Glenashton Dr + Wembley Rd,43.477845,-79.712844,2
1127,2238,Glenashton Dr + Sawgrass Dr,43.47816,-79.712816,2
347,2239,River Oaks Blvd East + Oak Springs Rd,43.475269,-79.708687,1
1026,2240,River Oaks Blvd East + Trafalgar Rd,43.477,-79.7053,1
589,2241,Munn's Ave + Margot St,43.4676,-79.7227,1
160,2242,Towne Blvd + Mowat Ave,43.463094,-79.732389,1
657,2243,Towne Blvd + Callaghan Cr,43.4657,-79.7294,1
551,2244,Munn's Ave + Margot St,43.4675,-79.7226,1
1397,2245,Oakville Trafalgar Memorial Hospital - West Entrance,43.45054,-79.76471,1
1311,2246,8th Line + Granby Dr,43.481448,-79.696801,1
528,2247,8th Line south of Glenashton Dr,43.4848,-79.7014,1
698,2248,8th Line + Grenville Dr,43.482675,-79.698504,1
677,2249,Westoak Trails Blvd east of Bronte Rd,43.428681,-79.764909,1
1398,2250,Oakville Trafalgar Memorial Hospital - North Entrance,43.45181,-79.76568,1
890,2251,3rd Line north of Abbeywood Dr,43.43021,-79.73277,1
264,2252,RioCan Centre (East),43.3976,-79.7484,2
1100,2253,RioCan Centre (West),43.3971,-79.7515,1
268,2254,Great Lakes Blvd + Spring Azure Cr,43.378,-79.7207,1
164,2255,Wyecroft Rd + South Service Rd West,43.3945,-79.7494,1
917,2256,3rd Line + North Service Rd West,43.4267,-79.7285,2
639,2257,3rd Line + North Service Rd West,43.4272,-79.7286,2
726,2258,3rd Line + South Service Rd West,43.4218,-79.7214,1
462,2259,3rd Line + Wyecroft Rd,43.42117,-79.720944,1
565,2260,Bronte Rd + North Service Rd West,43.413,-79.7451,1
1399,2261,Oakville Trafalgar Memorial Hospital - East Entrance,43.45176,-79.76371,1
